startnumber,prefix,author
1,Scooby-Doo Where Are You,Chris Duffy
2,Scooby-Doo Where Are You,Chris Duffy
3,Scooby-Doo Where Are You,Chris Duffy
4,Scooby-Doo Where Are You,John Rozum
5,Scooby-Doo Where Are You,John Rozum
6,Scooby-Doo Where Are You,Chris Duffy
7,Scooby-Doo Where Are You,Jesse Leon McCann
8,Scooby-Doo Where Are You,Joe Edkin
9,Scooby-Doo Where Are You,Sholly Fisch
10,Scooby-Doo Where Are You,Sholly Fisch
11,Scooby-Doo Where Are You,Scott Peterson
12,Scooby-Doo Where Are You,Paul S. Newman
13,Scooby-Doo Where Are You,Sholly Fisch
14,Scooby-Doo Where Are You,Paul Kupperberg
15,Scooby-Doo Where Are You,John Rozum
16,Scooby-Doo Where Are You,Robbie Busch
17,Scooby-Doo Where Are You,John Rozum
18,Scooby-Doo Where Are You,Sholly Fisch
19,Scooby-Doo Where Are You,Scott Beatty
20,Scooby-Doo Where Are You,Vito Delsante
21,Scooby-Doo Where Are You,John Rozum
22,Scooby-Doo Where Are You,Scott Beatty
23,Scooby-Doo Where Are You,Frank Strom
24,Scooby-Doo Where Are You,John Rozum
25,Scooby-Doo Where Are You,John Rozum
26,Scooby-Doo Where Are You,Frank Strom
27,Scooby-Doo Where Are You,Scott Neely
28,Scooby-Doo Where Are You,Sholly Fisch
29,Scooby-Doo Where Are You,Alex Simmons
30,Scooby-Doo Where Are You,Sholly Fisch
31,Scooby-Doo Where Are You,John Rozum
32,Scooby-Doo Where Are You,Sholly Fisch
33,Scooby-Doo Where Are You,Sholly Fisch
34,Scooby-Doo Where Are You,Jason Lewis
35,Scooby-Doo Where Are You,Sholly Fisch
36,Scooby-Doo Where Are You,Sholly Fisch
37,Scooby-Doo Where Are You,Sholly Fisch
38,Scooby-Doo Where Are You,Sholly Fisch
39,Scooby-Doo Where Are You,Heather Nuhfer
40,Scooby-Doo Where Are You,Sholly Fisch
41,Scooby-Doo Where Are You,Scott Gross
42,Scooby-Doo Where Are You,Heather Nuhfer
43,Scooby-Doo Where Are You,Sholly Fisch
