path,Extension,,,,,startnumber,prefix,author,,,,filename
C:\temp2\spawn\Spawn 001(1992)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,1,0,,,1,Spawn,Todd McFarlane,,by,,Spawn - 01 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 002(1992)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,2,0,,,2,Spawn,Todd McFarlane,,by,,Spawn - 02 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 003(1992)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,3,0,,,3,Spawn,Todd McFarlane,,by,,Spawn - 03 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 004(1992)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,4,0,,,4,Spawn,Todd McFarlane,,by,,Spawn - 04 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 005(1992)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,5,0,,,5,Spawn,Todd McFarlane,,by,,Spawn - 05 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 006(1992)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,6,0,,,6,Spawn,Todd McFarlane,,by,,Spawn - 06 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 007(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,7,0,,,7,Spawn,Todd McFarlane,,by,,Spawn - 07 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 008(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,8,0,,,8,Spawn,Alan Moore,,by,,Spawn - 08 by Alan Moore.cbr
C:\temp2\spawn\Spawn 009(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,9,0,,,9,Spawn,Neil Gaiman,,by,,Spawn - 09 by Neil Gaiman.cbr
C:\temp2\spawn\Spawn 010(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,10,0,,,10,Spawn,Dave Sim,,by,,Spawn - 010 by Dave Sim.cbr
C:\temp2\spawn\Spawn 011(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,11,0,,,11,Spawn,Frank Miller,,by,,Spawn - 011 by Frank Miller.cbr
C:\temp2\spawn\Spawn 012(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,12,0,,,12,Spawn,Todd McFarlane,,by,,Spawn - 012 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 013(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,13,0,,,13,Spawn,Todd McFarlane,,by,,Spawn - 013 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 014(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,14,0,,,14,Spawn,Todd McFarlane,,by,,Spawn - 014 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 015(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,15,0,,,15,Spawn,Todd McFarlane,,by,,Spawn - 015 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 016(1993)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,16,0,,,16,Spawn,Grant Morrison,,by,,Spawn - 016 by Grant Morrison.cbr
C:\temp2\spawn\Spawn 017(1994)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,17,0,,,17,Spawn,Grant Morrison,,by,,Spawn - 017 by Grant Morrison.cbr
C:\temp2\spawn\Spawn 018(1994)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,18,0,,,18,Spawn,Grant Morrison,,by,,Spawn - 018 by Grant Morrison.cbr
C:\temp2\spawn\Spawn 019(1994)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,19,0,,,19,Spawn,Andrew Grossberg,,by,,Spawn - 019 by Andrew Grossberg.cbr
C:\temp2\spawn\Spawn 020(1994)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,20,0,,,20,Spawn,Andrew Grossberg,,by,,Spawn - 020 by Andrew Grossberg.cbr
C:\temp2\spawn\Spawn 021(1994)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,21,0,,,21,Spawn,Todd McFarlane,,by,,Spawn - 021 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 022(1994)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,22,0,,,22,Spawn,Todd McFarlane,,by,,Spawn - 022 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 023(1994)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,23,0,,,23,Spawn,Todd McFarlane,,by,,Spawn - 023 by Todd McFarlane.cbr
